iter	Passed	Remaining
0	4	4673
1	9	4786
2	13	4563
3	17	4440
4	24	4864
5	28	4761
6	33	4749
7	37	4655
8	41	4596
9	46	4560
10	49	4495
11	53	4436
12	58	4428
13	63	4450
14	67	4452
15	75	4659
16	81	4720
17	87	4761
18	91	4719
19	96	4712
20	100	4694
21	105	4671
22	109	4657
23	114	4643
24	118	4622
25	122	4600
26	127	4591
27	131	4570
28	137	4593
29	141	4590
30	149	4674
31	154	4661
32	163	4777
33	177	5039
34	181	5007
35	186	5002
36	197	5142
37	201	5101
38	207	5109
39	211	5069
40	214	5017
41	219	5013
42	223	4979
43	227	4949
44	231	4913
45	236	4896
46	240	4869
47	244	4847
48	250	4859
49	254	4836
50	260	4849
51	265	4839
52	269	4810
53	274	4815
54	280	4826
55	285	4806
56	288	4774
57	293	4759
58	297	4737
59	301	4724
60	305	4703
61	310	4696
62	314	4680
63	318	4650
64	322	4635
65	326	4616
66	330	4600
67	334	4588
68	339	4577
69	343	4562
70	347	4551
71	354	4564
72	358	4550
73	362	4536
74	366	4522
75	372	4529
76	376	4518
77	380	4502
78	385	4496
79	389	4484
80	394	4470
81	398	4460
82	402	4447
83	406	4437
84	411	4424
85	416	4430
86	421	4420
87	425	4409
88	431	4415
89	435	4404
90	439	4392
91	445	4395
92	449	4382
93	453	4369
94	458	4369
95	462	4357
96	466	4346
97	471	4336
98	476	4336
99	481	4329
100	485	4317
101	489	4310
102	493	4298
103	497	4287
104	501	4278
105	508	4285
106	512	4275
107	516	4268
108	521	4265
109	525	4253
110	530	4245
111	534	4241
112	539	4233
113	543	4226
114	547	4216
115	554	4225
116	559	4219
117	563	4211
118	567	4205
119	572	4198
120	576	4190
121	581	4184
122	585	4176
123	590	4168
124	594	4159
125	597	4147
126	602	4142
127	607	4138
128	612	4136
129	616	4128
130	621	4119
131	625	4111
132	630	4109
133	634	4102
134	639	4096
135	644	4092
136	648	4086
137	654	4085
138	658	4079
139	662	4070
140	667	4063
141	671	4057
142	675	4049
143	680	4044
144	688	4062
145	693	4057
146	699	4056
147	703	4049
148	707	4041
149	712	4035
150	719	4043
151	723	4036
152	728	4032
153	732	4024
154	735	4010
155	740	4004
156	746	4009
157	751	4003
158	755	3996
159	759	3989
160	764	3981
161	768	3977
162	774	3977
163	778	3970
164	783	3963
165	787	3958
166	791	3946
167	795	3940
168	800	3935
169	804	3929
170	809	3924
171	813	3917
172	818	3911
173	822	3905
174	827	3899
175	831	3893
176	836	3888
177	841	3887
178	846	3880
179	850	3875
180	855	3870
181	859	3862
182	863	3856
183	868	3849
184	872	3841
185	875	3833
186	880	3829
187	885	3823
188	889	3816
189	894	3815
190	898	3806
191	902	3798
192	909	3801
193	913	3794
194	917	3786
195	921	3778
196	926	3776
197	931	3771
198	935	3766
199	940	3763
200	944	3756
201	949	3749
202	953	3742
203	957	3734
204	961	3729
205	966	3723
206	970	3719
207	975	3714
208	980	3709
209	984	3704
210	989	3699
211	994	3694
212	998	3688
213	1002	3682
214	1007	3676
215	1011	3669
216	1015	3663
217	1019	3657
218	1023	3649
219	1028	3646
220	1032	3638
221	1037	3634
222	1042	3630
223	1046	3625
224	1051	3620
225	1055	3614
226	1059	3608
227	1063	3602
228	1070	3604
229	1077	3606
230	1081	3600
231	1085	3592
232	1089	3587
233	1094	3581
234	1099	3577
235	1103	3572
236	1106	3562
237	1110	3555
238	1114	3549
239	1118	3543
240	1122	3535
241	1128	3535
242	1132	3529
243	1137	3522
244	1143	3524
245	1147	3517
246	1151	3511
247	1156	3506
248	1160	3501
249	1164	3494
250	1169	3490
251	1174	3486
252	1178	3479
253	1182	3471
254	1186	3466
255	1190	3459
256	1194	3452
257	1197	3442
258	1202	3439
259	1206	3432
260	1209	3424
261	1216	3426
262	1220	3420
263	1225	3415
264	1229	3410
265	1233	3403
266	1237	3397
267	1241	3392
268	1248	3392
269	1252	3386
270	1256	3380
271	1261	3376
272	1265	3370
273	1270	3365
274	1274	3360
275	1279	3355
276	1283	3350
277	1287	3344
278	1292	3341
279	1297	3335
280	1301	3329
281	1305	3325
282	1310	3320
283	1314	3314
284	1317	3305
285	1322	3301
286	1326	3295
287	1331	3290
288	1335	3286
289	1339	3280
290	1344	3275
291	1348	3270
292	1353	3266
293	1358	3262
294	1363	3258
295	1368	3253
296	1371	3245
297	1375	3239
298	1381	3238
299	1385	3233
300	1389	3227
301	1393	3221
302	1398	3217
303	1403	3212
304	1407	3206
305	1412	3203
306	1416	3198
307	1420	3191
308	1425	3186
309	1430	3184
310	1435	3179
311	1438	3173
312	1443	3168
313	1447	3162
314	1451	3157
315	1456	3153
316	1461	3148
317	1466	3144
318	1470	3140
319	1474	3134
320	1479	3129
321	1483	3123
322	1487	3118
323	1490	3110
324	1495	3105
325	1499	3099
326	1503	3094
327	1507	3089
328	1512	3084
329	1516	3079
330	1521	3075
331	1525	3070
332	1530	3065
333	1535	3062
334	1541	3059
335	1545	3055
336	1550	3050
337	1554	3044
338	1558	3038
339	1563	3035
340	1568	3030
341	1572	3024
342	1578	3023
343	1582	3018
344	1586	3012
345	1593	3011
346	1597	3006
347	1601	3001
348	1607	2998
349	1611	2993
350	1615	2987
351	1620	2983
352	1625	2979
353	1629	2973
354	1633	2968
355	1639	2964
356	1642	2959
357	1647	2953
358	1651	2948
359	1655	2943
360	1659	2937
361	1664	2932
362	1668	2928
363	1672	2922
364	1676	2917
365	1681	2912
366	1685	2907
367	1689	2901
368	1693	2896
369	1732	2950
370	1737	2945
371	1761	2973
372	1774	2982
373	1777	2975
374	1784	2973
375	1805	2996
376	1809	2990
377	1814	2985
378	1818	2980
379	1825	2978
380	1830	2973
381	1833	2966
382	1838	2961
383	1842	2955
384	1846	2949
385	1850	2943
386	1855	2939
387	1858	2931
388	1862	2926
389	1867	2921
390	1871	2915
391	1875	2909
392	1879	2903
393	1884	2899
394	1890	2895
395	1894	2890
396	1899	2885
397	1903	2879
398	1908	2874
399	1912	2868
400	1916	2862
401	1920	2857
402	1924	2851
403	1930	2848
404	1935	2842
405	1939	2836
406	1942	2830
407	1947	2826
408	1952	2821
409	1957	2816
410	1961	2811
411	1966	2806
412	1970	2800
413	1974	2794
414	1979	2789
415	1984	2785
416	1989	2780
417	1993	2775
418	1997	2770
419	2003	2767
420	2008	2762
421	2012	2756
422	2018	2752
423	2022	2747
424	2026	2742
425	2031	2736
426	2036	2732
427	2040	2727
428	2045	2723
429	2051	2719
430	2055	2713
431	2060	2708
432	2065	2704
433	2069	2698
434	2073	2693
435	2079	2689
436	2083	2684
437	2087	2679
438	2092	2673
439	2097	2670
440	2102	2665
441	2106	2659
442	2112	2655
443	2116	2650
444	2120	2644
445	2126	2641
446	2131	2636
447	2135	2631
448	2141	2627
449	2145	2622
450	2150	2617
451	2154	2612
452	2159	2607
453	2163	2601
454	2168	2597
455	2173	2592
456	2178	2588
457	2181	2582
458	2186	2577
459	2191	2572
460	2195	2567
461	2200	2562
462	2205	2557
463	2209	2552
464	2213	2546
465	2218	2542
466	2222	2536
467	2225	2529
468	2229	2524
469	2233	2518
470	2238	2513
471	2244	2510
472	2248	2505
473	2252	2499
474	2259	2496
475	2266	2495
476	2273	2493
477	2277	2487
478	2281	2482
479	2286	2477
480	2292	2473
481	2296	2468
482	2302	2464
483	2306	2458
484	2310	2452
485	2314	2448
486	2320	2444
487	2325	2439
488	2329	2434
489	2333	2429
490	2338	2424
491	2344	2420
492	2350	2416
493	2354	2411
494	2359	2406
495	2364	2402
496	2369	2397
497	2373	2392
498	2378	2388
499	2382	2382
500	2387	2377
501	2392	2373
502	2396	2367
503	2400	2362
504	2405	2357
505	2409	2351
506	2413	2346
507	2417	2341
508	2422	2336
509	2425	2330
510	2430	2325
511	2435	2320
512	2440	2316
513	2447	2314
514	2453	2310
515	2457	2305
516	2462	2300
517	2469	2297
518	2473	2292
519	2477	2287
520	2485	2285
521	2490	2280
522	2494	2275
523	2500	2271
524	2505	2266
525	2509	2261
526	2515	2257
527	2519	2252
528	2524	2247
529	2529	2243
530	2533	2237
531	2538	2232
532	2543	2228
533	2547	2223
534	2552	2218
535	2556	2213
536	2561	2208
537	2566	2204
538	2571	2199
539	2576	2195
540	2581	2189
541	2585	2185
542	2590	2180
543	2594	2174
544	2599	2169
545	2603	2165
546	2608	2159
547	2612	2154
548	2617	2150
549	2622	2145
550	2628	2141
551	2632	2136
552	2638	2132
553	2642	2127
554	2647	2122
555	2652	2117
556	2656	2112
557	2661	2107
558	2666	2103
559	2672	2099
560	2676	2094
561	2682	2090
562	2687	2085
563	2691	2080
564	2698	2077
565	2702	2072
566	2707	2067
567	2713	2063
568	2718	2058
569	2722	2053
570	2728	2050
571	2733	2045
572	2737	2040
573	2743	2036
574	2748	2031
575	2753	2027
576	2759	2023
577	2764	2018
578	2768	2013
579	2774	2009
580	2781	2006
581	2793	2006
582	2800	2003
583	2808	2000
584	2813	1996
585	2819	1992
586	2825	1988
587	2829	1982
588	2839	1981
589	2843	1976
590	2851	1973
591	2855	1968
592	2859	1962
593	2869	1961
594	2877	1958
595	2883	1954
596	2887	1949
597	2897	1948
598	2902	1942
599	2914	1943
600	2919	1938
601	2929	1937
602	2934	1931
603	2943	1929
604	2947	1924
605	2951	1918
606	2957	1914
607	2962	1909
608	2970	1906
609	2975	1902
610	2979	1896
611	2984	1892
612	2988	1886
613	2996	1883
614	3000	1878
615	3004	1873
616	3013	1870
617	3017	1865
618	3024	1861
619	3028	1856
620	3032	1850
621	3038	1846
622	3043	1841
623	3047	1836
624	3052	1831
625	3058	1827
626	3062	1821
627	3066	1816
628	3072	1812
629	3076	1807
630	3080	1801
631	3085	1796
632	3089	1791
633	3093	1785
634	3097	1780
635	3103	1776
636	3107	1771
637	3112	1765
638	3117	1761
639	3121	1756
640	3125	1750
641	3132	1746
642	3137	1741
643	3141	1736
644	3147	1732
645	3151	1726
646	3155	1721
647	3161	1717
648	3165	1711
649	3169	1706
650	3173	1701
651	3179	1696
652	3183	1691
653	3187	1686
654	3191	1681
655	3195	1675
656	3199	1670
657	3203	1665
658	3207	1659
659	3211	1654
660	3216	1649
661	3221	1644
662	3225	1639
663	3229	1634
664	3233	1629
665	3237	1623
666	3241	1618
667	3248	1614
668	3252	1609
669	3256	1603
670	3263	1599
671	3267	1594
672	3272	1590
673	3278	1585
674	3283	1580
675	3287	1575
676	3292	1570
677	3296	1565
678	3300	1560
679	3304	1555
680	3309	1550
681	3313	1544
682	3317	1539
683	3323	1535
684	3327	1530
685	3331	1524
686	3337	1520
687	3341	1515
688	3344	1509
689	3351	1505
690	3356	1500
691	3360	1495
692	3366	1491
693	3370	1485
694	3374	1480
695	3378	1475
696	3384	1471
697	3388	1466
698	3392	1460
699	3397	1456
700	3401	1450
701	3404	1445
702	3408	1440
703	3415	1435
704	3418	1430
705	3422	1425
706	3427	1420
707	3431	1415
708	3435	1410
709	3439	1404
710	3444	1399
